image_path,mask_path,training_stage
training_input_original/ISIC_0000044.jpg,training_output_mask/ISIC_0000044_segmentation.png,Training
training_input_original/ISIC_0000045.jpg,training_output_mask/ISIC_0000045_segmentation.png,Training
training_input_original/ISIC_0000046.jpg,training_output_mask/ISIC_0000046_segmentation.png,Training
training_input_original/ISIC_0000047.jpg,training_output_mask/ISIC_0000047_segmentation.png,Training
training_input_original/ISIC_0000048.jpg,training_output_mask/ISIC_0000048_segmentation.png,Training
training_input_original/ISIC_0000049.jpg,training_output_mask/ISIC_0000049_segmentation.png,Training
training_input_original/ISIC_0000050.jpg,training_output_mask/ISIC_0000050_segmentation.png,Training
training_input_original/ISIC_0000051.jpg,training_output_mask/ISIC_0000051_segmentation.png,Training
training_input_original/ISIC_0000052.jpg,training_output_mask/ISIC_0000052_segmentation.png,Training
training_input_original/ISIC_0000054.jpg,training_output_mask/ISIC_0000054_segmentation.png,Training
training_input_original/ISIC_0000055.jpg,training_output_mask/ISIC_0000055_segmentation.png,Training
training_input_original/ISIC_0000056.jpg,training_output_mask/ISIC_0000056_segmentation.png,Training
training_input_original/ISIC_0000057.jpg,training_output_mask/ISIC_0000057_segmentation.png,Training
training_input_original/ISIC_0000058.jpg,training_output_mask/ISIC_0000058_segmentation.png,Training
training_input_original/ISIC_0000059.jpg,training_output_mask/ISIC_0000059_segmentation.png,Training
training_input_original/ISIC_0000060.jpg,training_output_mask/ISIC_0000060_segmentation.png,Training
training_input_original/ISIC_0000061.jpg,training_output_mask/ISIC_0000061_segmentation.png,Training
training_input_original/ISIC_0000062.jpg,training_output_mask/ISIC_0000062_segmentation.png,Training
training_input_original/ISIC_0000063.jpg,training_output_mask/ISIC_0000063_segmentation.png,Training
training_input_original/ISIC_0000064.jpg,training_output_mask/ISIC_0000064_segmentation.png,Training
training_input_original/ISIC_0000065.jpg,training_output_mask/ISIC_0000065_segmentation.png,Training
training_input_original/ISIC_0000066.jpg,training_output_mask/ISIC_0000066_segmentation.png,Training
training_input_original/ISIC_0000067.jpg,training_output_mask/ISIC_0000067_segmentation.png,Training
training_input_original/ISIC_0000068.jpg,training_output_mask/ISIC_0000068_segmentation.png,Training
training_input_original/ISIC_0000069.jpg,training_output_mask/ISIC_0000069_segmentation.png,Training
training_input_original/ISIC_0000018.jpg,training_output_mask/ISIC_0000018_segmentation.png,Training
training_input_original/ISIC_0000036.jpg,training_output_mask/ISIC_0000036_segmentation.png,Training
training_input_original/ISIC_0000053.jpg,training_output_mask/ISIC_0000053_segmentation.png,Training
training_input_original/ISIC_0000071.jpg,training_output_mask/ISIC_0000071_segmentation.png,Training
training_input_original/ISIC_0000092.jpg,training_output_mask/ISIC_0000092_segmentation.png,Training
training_input_original/ISIC_0000110.jpg,training_output_mask/ISIC_0000110_segmentation.png,Training
training_input_original/ISIC_0000129.jpg,training_output_mask/ISIC_0000129_segmentation.png,Training
training_input_original/ISIC_0000148.jpg,training_output_mask/ISIC_0000148_segmentation.png,Training
training_input_original/ISIC_0000166.jpg,training_output_mask/ISIC_0000166_segmentation.png,Training
training_input_original/ISIC_0000187.jpg,training_output_mask/ISIC_0000187_segmentation.png,Training
training_input_original/ISIC_0000206.jpg,training_output_mask/ISIC_0000206_segmentation.png,Training
training_input_original/ISIC_0000223.jpg,training_output_mask/ISIC_0000223_segmentation.png,Training
training_input_original/ISIC_0000243.jpg,training_output_mask/ISIC_0000243_segmentation.png,Training
training_input_original/ISIC_0000262.jpg,training_output_mask/ISIC_0000262_segmentation.png,Training
training_input_original/ISIC_0000288.jpg,training_output_mask/ISIC_0000288_segmentation.png,Training
training_input_original/ISIC_0000072.jpg,training_output_mask/ISIC_0000072_segmentation.png,Training
training_input_original/ISIC_0000073.jpg,training_output_mask/ISIC_0000073_segmentation.png,Training
training_input_original/ISIC_0000074.jpg,training_output_mask/ISIC_0000074_segmentation.png,Training
training_input_original/ISIC_0000075.jpg,training_output_mask/ISIC_0000075_segmentation.png,Training
training_input_original/ISIC_0000077.jpg,training_output_mask/ISIC_0000077_segmentation.png,Training
training_input_original/ISIC_0000078.jpg,training_output_mask/ISIC_0000078_segmentation.png,Training
training_input_original/ISIC_0000079.jpg,training_output_mask/ISIC_0000079_segmentation.png,Training
training_input_original/ISIC_0000080.jpg,training_output_mask/ISIC_0000080_segmentation.png,Training
training_input_original/ISIC_0000081.jpg,training_output_mask/ISIC_0000081_segmentation.png,Training
training_input_original/ISIC_0000082.jpg,training_output_mask/ISIC_0000082_segmentation.png,Training
training_input_original/ISIC_0000085.jpg,training_output_mask/ISIC_0000085_segmentation.png,Training
training_input_original/ISIC_0000086.jpg,training_output_mask/ISIC_0000086_segmentation.png,Training
training_input_original/ISIC_0000087.jpg,training_output_mask/ISIC_0000087_segmentation.png,Training
training_input_original/ISIC_0000088.jpg,training_output_mask/ISIC_0000088_segmentation.png,Training
training_input_original/ISIC_0000089.jpg,training_output_mask/ISIC_0000089_segmentation.png,Training
training_input_original/ISIC_0000091.jpg,training_output_mask/ISIC_0000091_segmentation.png,Training
training_input_original/ISIC_0000093.jpg,training_output_mask/ISIC_0000093_segmentation.png,Training
training_input_original/ISIC_0000094.jpg,training_output_mask/ISIC_0000094_segmentation.png,Training
training_input_original/ISIC_0000095.jpg,training_output_mask/ISIC_0000095_segmentation.png,Training
training_input_original/ISIC_0000096.jpg,training_output_mask/ISIC_0000096_segmentation.png,Training
training_input_original/ISIC_0000097.jpg,training_output_mask/ISIC_0000097_segmentation.png,Training
training_input_original/ISIC_0000098.jpg,training_output_mask/ISIC_0000098_segmentation.png,Training
training_input_original/ISIC_0000099.jpg,training_output_mask/ISIC_0000099_segmentation.png,Training
training_input_original/ISIC_0000100.jpg,training_output_mask/ISIC_0000100_segmentation.png,Training
training_input_original/ISIC_0000101.jpg,training_output_mask/ISIC_0000101_segmentation.png,Training
training_input_original/ISIC_0000102.jpg,training_output_mask/ISIC_0000102_segmentation.png,Training
training_input_original/ISIC_0000103.jpg,training_output_mask/ISIC_0000103_segmentation.png,Training
training_input_original/ISIC_0000104.jpg,training_output_mask/ISIC_0000104_segmentation.png,Training
training_input_original/ISIC_0000105.jpg,training_output_mask/ISIC_0000105_segmentation.png,Training
training_input_original/ISIC_0000107.jpg,training_output_mask/ISIC_0000107_segmentation.png,Training
training_input_original/ISIC_0000108.jpg,training_output_mask/ISIC_0000108_segmentation.png,Training
training_input_original/ISIC_0000109.jpg,training_output_mask/ISIC_0000109_segmentation.png,Training
training_input_original/ISIC_0000111.jpg,training_output_mask/ISIC_0000111_segmentation.png,Training
training_input_original/ISIC_0000112.jpg,training_output_mask/ISIC_0000112_segmentation.png,Training
training_input_original/ISIC_0000113.jpg,training_output_mask/ISIC_0000113_segmentation.png,Training
training_input_original/ISIC_0000115.jpg,training_output_mask/ISIC_0000115_segmentation.png,Training
training_input_original/ISIC_0000116.jpg,training_output_mask/ISIC_0000116_segmentation.png,Training
training_input_original/ISIC_0000117.jpg,training_output_mask/ISIC_0000117_segmentation.png,Training
training_input_original/ISIC_0000119.jpg,training_output_mask/ISIC_0000119_segmentation.png,Training
training_input_original/ISIC_0000120.jpg,training_output_mask/ISIC_0000120_segmentation.png,Training
training_input_original/ISIC_0000121.jpg,training_output_mask/ISIC_0000121_segmentation.png,Training
training_input_original/ISIC_0000122.jpg,training_output_mask/ISIC_0000122_segmentation.png,Training
training_input_original/ISIC_0000123.jpg,training_output_mask/ISIC_0000123_segmentation.png,Training
training_input_original/ISIC_0000124.jpg,training_output_mask/ISIC_0000124_segmentation.png,Training
training_input_original/ISIC_0000125.jpg,training_output_mask/ISIC_0000125_segmentation.png,Training
training_input_original/ISIC_0000126.jpg,training_output_mask/ISIC_0000126_segmentation.png,Training
training_input_original/ISIC_0000127.jpg,training_output_mask/ISIC_0000127_segmentation.png,Training
training_input_original/ISIC_0000128.jpg,training_output_mask/ISIC_0000128_segmentation.png,Training
training_input_original/ISIC_0000131.jpg,training_output_mask/ISIC_0000131_segmentation.png,Training
training_input_original/ISIC_0000132.jpg,training_output_mask/ISIC_0000132_segmentation.png,Training
training_input_original/ISIC_0000133.jpg,training_output_mask/ISIC_0000133_segmentation.png,Training
training_input_original/ISIC_0000134.jpg,training_output_mask/ISIC_0000134_segmentation.png,Training
training_input_original/ISIC_0000135.jpg,training_output_mask/ISIC_0000135_segmentation.png,Training
training_input_original/ISIC_0000136.jpg,training_output_mask/ISIC_0000136_segmentation.png,Training
training_input_original/ISIC_0000137.jpg,training_output_mask/ISIC_0000137_segmentation.png,Training
training_input_original/ISIC_0000138.jpg,training_output_mask/ISIC_0000138_segmentation.png,Training
training_input_original/ISIC_0000139.jpg,training_output_mask/ISIC_0000139_segmentation.png,Training
training_input_original/ISIC_0000140.jpg,training_output_mask/ISIC_0000140_segmentation.png,Training
training_input_original/ISIC_0000141.jpg,training_output_mask/ISIC_0000141_segmentation.png,Training
training_input_original/ISIC_0000142.jpg,training_output_mask/ISIC_0000142_segmentation.png,Training
training_input_original/ISIC_0000143.jpg,training_output_mask/ISIC_0000143_segmentation.png,Training
training_input_original/ISIC_0000145.jpg,training_output_mask/ISIC_0000145_segmentation.png,Training
training_input_original/ISIC_0000146.jpg,training_output_mask/ISIC_0000146_segmentation.png,Training
training_input_original/ISIC_0000147.jpg,training_output_mask/ISIC_0000147_segmentation.png,Training
training_input_original/ISIC_0000149.jpg,training_output_mask/ISIC_0000149_segmentation.png,Training
training_input_original/ISIC_0000150.jpg,training_output_mask/ISIC_0000150_segmentation.png,Training
training_input_original/ISIC_0000151.jpg,training_output_mask/ISIC_0000151_segmentation.png,Training
training_input_original/ISIC_0000152.jpg,training_output_mask/ISIC_0000152_segmentation.png,Training
training_input_original/ISIC_0000153.jpg,training_output_mask/ISIC_0000153_segmentation.png,Training
training_input_original/ISIC_0000154.jpg,training_output_mask/ISIC_0000154_segmentation.png,Training
training_input_original/ISIC_0000155.jpg,training_output_mask/ISIC_0000155_segmentation.png,Training
training_input_original/ISIC_0000156.jpg,training_output_mask/ISIC_0000156_segmentation.png,Training
training_input_original/ISIC_0000157.jpg,training_output_mask/ISIC_0000157_segmentation.png,Training
training_input_original/ISIC_0000159.jpg,training_output_mask/ISIC_0000159_segmentation.png,Training
training_input_original/ISIC_0000160.jpg,training_output_mask/ISIC_0000160_segmentation.png,Training
training_input_original/ISIC_0000161.jpg,training_output_mask/ISIC_0000161_segmentation.png,Training
training_input_original/ISIC_0000162.jpg,training_output_mask/ISIC_0000162_segmentation.png,Training
training_input_original/ISIC_0000163.jpg,training_output_mask/ISIC_0000163_segmentation.png,Training
training_input_original/ISIC_0000164.jpg,training_output_mask/ISIC_0000164_segmentation.png,Training
training_input_original/ISIC_0000165.jpg,training_output_mask/ISIC_0000165_segmentation.png,Training
training_input_original/ISIC_0000167.jpg,training_output_mask/ISIC_0000167_segmentation.png,Training
training_input_original/ISIC_0000169.jpg,training_output_mask/ISIC_0000169_segmentation.png,Training
training_input_original/ISIC_0000170.jpg,training_output_mask/ISIC_0000170_segmentation.png,Training
training_input_original/ISIC_0000171.jpg,training_output_mask/ISIC_0000171_segmentation.png,Training
training_input_original/ISIC_0000172.jpg,training_output_mask/ISIC_0000172_segmentation.png,Training
training_input_original/ISIC_0000173.jpg,training_output_mask/ISIC_0000173_segmentation.png,Training
training_input_original/ISIC_0000175.jpg,training_output_mask/ISIC_0000175_segmentation.png,Training
training_input_original/ISIC_0000176.jpg,training_output_mask/ISIC_0000176_segmentation.png,Training
training_input_original/ISIC_0000177.jpg,training_output_mask/ISIC_0000177_segmentation.png,Training
training_input_original/ISIC_0000179.jpg,training_output_mask/ISIC_0000179_segmentation.png,Training
training_input_original/ISIC_0000181.jpg,training_output_mask/ISIC_0000181_segmentation.png,Training
training_input_original/ISIC_0000182.jpg,training_output_mask/ISIC_0000182_segmentation.png,Training
training_input_original/ISIC_0000183.jpg,training_output_mask/ISIC_0000183_segmentation.png,Training
training_input_original/ISIC_0000184.jpg,training_output_mask/ISIC_0000184_segmentation.png,Training
training_input_original/ISIC_0000185.jpg,training_output_mask/ISIC_0000185_segmentation.png,Training
training_input_original/ISIC_0000186.jpg,training_output_mask/ISIC_0000186_segmentation.png,Training
training_input_original/ISIC_0000188.jpg,training_output_mask/ISIC_0000188_segmentation.png,Training
training_input_original/ISIC_0000189.jpg,training_output_mask/ISIC_0000189_segmentation.png,Training
training_input_original/ISIC_0000190.jpg,training_output_mask/ISIC_0000190_segmentation.png,Training
training_input_original/ISIC_0000191.jpg,training_output_mask/ISIC_0000191_segmentation.png,Training
training_input_original/ISIC_0000192.jpg,training_output_mask/ISIC_0000192_segmentation.png,Training
training_input_original/ISIC_0000193.jpg,training_output_mask/ISIC_0000193_segmentation.png,Training
training_input_original/ISIC_0000196.jpg,training_output_mask/ISIC_0000196_segmentation.png,Training
training_input_original/ISIC_0000197.jpg,training_output_mask/ISIC_0000197_segmentation.png,Training
training_input_original/ISIC_0000198.jpg,training_output_mask/ISIC_0000198_segmentation.png,Training
training_input_original/ISIC_0000199.jpg,training_output_mask/ISIC_0000199_segmentation.png,Training
training_input_original/ISIC_0000200.jpg,training_output_mask/ISIC_0000200_segmentation.png,Training
training_input_original/ISIC_0000201.jpg,training_output_mask/ISIC_0000201_segmentation.png,Training
training_input_original/ISIC_0000202.jpg,training_output_mask/ISIC_0000202_segmentation.png,Training
training_input_original/ISIC_0000203.jpg,training_output_mask/ISIC_0000203_segmentation.png,Training
training_input_original/ISIC_0000204.jpg,training_output_mask/ISIC_0000204_segmentation.png,Training
training_input_original/ISIC_0000205.jpg,training_output_mask/ISIC_0000205_segmentation.png,Training
training_input_original/ISIC_0000207.jpg,training_output_mask/ISIC_0000207_segmentation.png,Training
training_input_original/ISIC_0000208.jpg,training_output_mask/ISIC_0000208_segmentation.png,Training
training_input_original/ISIC_0000209.jpg,training_output_mask/ISIC_0000209_segmentation.png,Training
training_input_original/ISIC_0000210.jpg,training_output_mask/ISIC_0000210_segmentation.png,Training
training_input_original/ISIC_0000211.jpg,training_output_mask/ISIC_0000211_segmentation.png,Training
training_input_original/ISIC_0000212.jpg,training_output_mask/ISIC_0000212_segmentation.png,Training
training_input_original/ISIC_0000213.jpg,training_output_mask/ISIC_0000213_segmentation.png,Training
training_input_original/ISIC_0000214.jpg,training_output_mask/ISIC_0000214_segmentation.png,Training
training_input_original/ISIC_0000215.jpg,training_output_mask/ISIC_0000215_segmentation.png,Training
training_input_original/ISIC_0000216.jpg,training_output_mask/ISIC_0000216_segmentation.png,Training
training_input_original/ISIC_0000217.jpg,training_output_mask/ISIC_0000217_segmentation.png,Training
training_input_original/ISIC_0000218.jpg,training_output_mask/ISIC_0000218_segmentation.png,Training
training_input_original/ISIC_0000219.jpg,training_output_mask/ISIC_0000219_segmentation.png,Training
training_input_original/ISIC_0000220.jpg,training_output_mask/ISIC_0000220_segmentation.png,Training
training_input_original/ISIC_0000221.jpg,training_output_mask/ISIC_0000221_segmentation.png,Training
training_input_original/ISIC_0000222.jpg,training_output_mask/ISIC_0000222_segmentation.png,Training
training_input_original/ISIC_0000224.jpg,training_output_mask/ISIC_0000224_segmentation.png,Training
training_input_original/ISIC_0000225.jpg,training_output_mask/ISIC_0000225_segmentation.png,Training
training_input_original/ISIC_0000226.jpg,training_output_mask/ISIC_0000226_segmentation.png,Training
training_input_original/ISIC_0000227.jpg,training_output_mask/ISIC_0000227_segmentation.png,Training
training_input_original/ISIC_0000228.jpg,training_output_mask/ISIC_0000228_segmentation.png,Training
training_input_original/ISIC_0000229.jpg,training_output_mask/ISIC_0000229_segmentation.png,Training
training_input_original/ISIC_0000230.jpg,training_output_mask/ISIC_0000230_segmentation.png,Training
training_input_original/ISIC_0000231.jpg,training_output_mask/ISIC_0000231_segmentation.png,Training
training_input_original/ISIC_0000232.jpg,training_output_mask/ISIC_0000232_segmentation.png,Training
training_input_original/ISIC_0000233.jpg,training_output_mask/ISIC_0000233_segmentation.png,Training
training_input_original/ISIC_0000234.jpg,training_output_mask/ISIC_0000234_segmentation.png,Training
training_input_original/ISIC_0000235.jpg,training_output_mask/ISIC_0000235_segmentation.png,Training
training_input_original/ISIC_0000236.jpg,training_output_mask/ISIC_0000236_segmentation.png,Training
training_input_original/ISIC_0000239.jpg,training_output_mask/ISIC_0000239_segmentation.png,Training
training_input_original/ISIC_0000240.jpg,training_output_mask/ISIC_0000240_segmentation.png,Training
training_input_original/ISIC_0000242.jpg,training_output_mask/ISIC_0000242_segmentation.png,Training
training_input_original/ISIC_0000244.jpg,training_output_mask/ISIC_0000244_segmentation.png,Training
training_input_original/ISIC_0000245.jpg,training_output_mask/ISIC_0000245_segmentation.png,Training
training_input_original/ISIC_0000246.jpg,training_output_mask/ISIC_0000246_segmentation.png,Training
training_input_original/ISIC_0000247.jpg,training_output_mask/ISIC_0000247_segmentation.png,Training
training_input_original/ISIC_0000249.jpg,training_output_mask/ISIC_0000249_segmentation.png,Training
training_input_original/ISIC_0000250.jpg,training_output_mask/ISIC_0000250_segmentation.png,Training
training_input_original/ISIC_0000251.jpg,training_output_mask/ISIC_0000251_segmentation.png,Training
training_input_original/ISIC_0000252.jpg,training_output_mask/ISIC_0000252_segmentation.png,Training
training_input_original/ISIC_0000253.jpg,training_output_mask/ISIC_0000253_segmentation.png,Training
training_input_original/ISIC_0000254.jpg,training_output_mask/ISIC_0000254_segmentation.png,Training
training_input_original/ISIC_0000255.jpg,training_output_mask/ISIC_0000255_segmentation.png,Training
training_input_original/ISIC_0000256.jpg,training_output_mask/ISIC_0000256_segmentation.png,Training
training_input_original/ISIC_0000258.jpg,training_output_mask/ISIC_0000258_segmentation.png,Training
training_input_original/ISIC_0000259.jpg,training_output_mask/ISIC_0000259_segmentation.png,Training
training_input_original/ISIC_0000260.jpg,training_output_mask/ISIC_0000260_segmentation.png,Training
training_input_original/ISIC_0000261.jpg,training_output_mask/ISIC_0000261_segmentation.png,Training
training_input_original/ISIC_0000263.jpg,training_output_mask/ISIC_0000263_segmentation.png,Training
training_input_original/ISIC_0000264.jpg,training_output_mask/ISIC_0000264_segmentation.png,Training
training_input_original/ISIC_0000265.jpg,training_output_mask/ISIC_0000265_segmentation.png,Training
training_input_original/ISIC_0000268.jpg,training_output_mask/ISIC_0000268_segmentation.png,Training
training_input_original/ISIC_0000269.jpg,training_output_mask/ISIC_0000269_segmentation.png,Training
training_input_original/ISIC_0000271.jpg,training_output_mask/ISIC_0000271_segmentation.png,Training
training_input_original/ISIC_0000274.jpg,training_output_mask/ISIC_0000274_segmentation.png,Training
training_input_original/ISIC_0000275.jpg,training_output_mask/ISIC_0000275_segmentation.png,Training
training_input_original/ISIC_0000276.jpg,training_output_mask/ISIC_0000276_segmentation.png,Training
training_input_original/ISIC_0000277.jpg,training_output_mask/ISIC_0000277_segmentation.png,Training
training_input_original/ISIC_0000278.jpg,training_output_mask/ISIC_0000278_segmentation.png,Training
training_input_original/ISIC_0000279.jpg,training_output_mask/ISIC_0000279_segmentation.png,Training
training_input_original/ISIC_0000281.jpg,training_output_mask/ISIC_0000281_segmentation.png,Training
training_input_original/ISIC_0000282.jpg,training_output_mask/ISIC_0000282_segmentation.png,Training
training_input_original/ISIC_0000283.jpg,training_output_mask/ISIC_0000283_segmentation.png,Training
training_input_original/ISIC_0000287.jpg,training_output_mask/ISIC_0000287_segmentation.png,Training
training_input_original/ISIC_0000290.jpg,training_output_mask/ISIC_0000290_segmentation.png,Training
training_input_original/ISIC_0000292.jpg,training_output_mask/ISIC_0000292_segmentation.png,Training
training_input_original/ISIC_0000293.jpg,training_output_mask/ISIC_0000293_segmentation.png,Training
training_input_original/ISIC_0000294.jpg,training_output_mask/ISIC_0000294_segmentation.png,Training
training_input_original/ISIC_0000295.jpg,training_output_mask/ISIC_0000295_segmentation.png,Training
training_input_original/ISIC_0000297.jpg,training_output_mask/ISIC_0000297_segmentation.png,Training
training_input_original/ISIC_0000298.jpg,training_output_mask/ISIC_0000298_segmentation.png,Training
training_input_original/ISIC_0000299.jpg,training_output_mask/ISIC_0000299_segmentation.png,Training
training_input_original/ISIC_0000300.jpg,training_output_mask/ISIC_0000300_segmentation.png,Training
training_input_original/ISIC_0000301.jpg,training_output_mask/ISIC_0000301_segmentation.png,Training
training_input_original/ISIC_0000303.jpg,training_output_mask/ISIC_0000303_segmentation.png,Training
training_input_original/ISIC_0000306.jpg,training_output_mask/ISIC_0000306_segmentation.png,Training
training_input_original/ISIC_0000307.jpg,training_output_mask/ISIC_0000307_segmentation.png,Training
training_input_original/ISIC_0000310.jpg,training_output_mask/ISIC_0000310_segmentation.png,Training
training_input_original/ISIC_0000311.jpg,training_output_mask/ISIC_0000311_segmentation.png,Training
training_input_original/ISIC_0000313.jpg,training_output_mask/ISIC_0000313_segmentation.png,Training
training_input_original/ISIC_0000315.jpg,training_output_mask/ISIC_0000315_segmentation.png,Training
training_input_original/ISIC_0000316.jpg,training_output_mask/ISIC_0000316_segmentation.png,Training
training_input_original/ISIC_0000317.jpg,training_output_mask/ISIC_0000317_segmentation.png,Training
training_input_original/ISIC_0000319.jpg,training_output_mask/ISIC_0000319_segmentation.png,Training
training_input_original/ISIC_0000320.jpg,training_output_mask/ISIC_0000320_segmentation.png,Training
training_input_original/ISIC_0000321.jpg,training_output_mask/ISIC_0000321_segmentation.png,Training
training_input_original/ISIC_0000322.jpg,training_output_mask/ISIC_0000322_segmentation.png,Training
training_input_original/ISIC_0000323.jpg,training_output_mask/ISIC_0000323_segmentation.png,Training
training_input_original/ISIC_0000324.jpg,training_output_mask/ISIC_0000324_segmentation.png,Training
training_input_original/ISIC_0000325.jpg,training_output_mask/ISIC_0000325_segmentation.png,Training
training_input_original/ISIC_0000326.jpg,training_output_mask/ISIC_0000326_segmentation.png,Training
training_input_original/ISIC_0000327.jpg,training_output_mask/ISIC_0000327_segmentation.png,Training
training_input_original/ISIC_0000328.jpg,training_output_mask/ISIC_0000328_segmentation.png,Training
training_input_original/ISIC_0000329.jpg,training_output_mask/ISIC_0000329_segmentation.png,Training
training_input_original/ISIC_0000330.jpg,training_output_mask/ISIC_0000330_segmentation.png,Training
training_input_original/ISIC_0000331.jpg,training_output_mask/ISIC_0000331_segmentation.png,Training
training_input_original/ISIC_0000336.jpg,training_output_mask/ISIC_0000336_segmentation.png,Training
training_input_original/ISIC_0000337.jpg,training_output_mask/ISIC_0000337_segmentation.png,Training
training_input_original/ISIC_0000338.jpg,training_output_mask/ISIC_0000338_segmentation.png,Training
training_input_original/ISIC_0000339.jpg,training_output_mask/ISIC_0000339_segmentation.png,Training
training_input_original/ISIC_0000340.jpg,training_output_mask/ISIC_0000340_segmentation.png,Training
training_input_original/ISIC_0000341.jpg,training_output_mask/ISIC_0000341_segmentation.png,Training
training_input_original/ISIC_0000342.jpg,training_output_mask/ISIC_0000342_segmentation.png,Training
training_input_original/ISIC_0000343.jpg,training_output_mask/ISIC_0000343_segmentation.png,Training
training_input_original/ISIC_0000344.jpg,training_output_mask/ISIC_0000344_segmentation.png,Training
training_input_original/ISIC_0000345.jpg,training_output_mask/ISIC_0000345_segmentation.png,Training
training_input_original/ISIC_0000346.jpg,training_output_mask/ISIC_0000346_segmentation.png,Training
training_input_original/ISIC_0000348.jpg,training_output_mask/ISIC_0000348_segmentation.png,Training
training_input_original/ISIC_0000349.jpg,training_output_mask/ISIC_0000349_segmentation.png,Training
training_input_original/ISIC_0000350.jpg,training_output_mask/ISIC_0000350_segmentation.png,Training
training_input_original/ISIC_0000351.jpg,training_output_mask/ISIC_0000351_segmentation.png,Training
training_input_original/ISIC_0000352.jpg,training_output_mask/ISIC_0000352_segmentation.png,Training
training_input_original/ISIC_0000354.jpg,training_output_mask/ISIC_0000354_segmentation.png,Training
training_input_original/ISIC_0000355.jpg,training_output_mask/ISIC_0000355_segmentation.png,Training
training_input_original/ISIC_0000357.jpg,training_output_mask/ISIC_0000357_segmentation.png,Training
training_input_original/ISIC_0000358.jpg,training_output_mask/ISIC_0000358_segmentation.png,Training
training_input_original/ISIC_0000359.jpg,training_output_mask/ISIC_0000359_segmentation.png,Training
training_input_original/ISIC_0000360.jpg,training_output_mask/ISIC_0000360_segmentation.png,Training
training_input_original/ISIC_0000361.jpg,training_output_mask/ISIC_0000361_segmentation.png,Training
training_input_original/ISIC_0000363.jpg,training_output_mask/ISIC_0000363_segmentation.png,Training
